lop	S1	S2	S3	S4	S5	S6	S7
12A	0	3	0	0	0	0	1	
12B	0	1	0	0	0	0	0	
12C	0	2	0	0	0	0	2	
12D	0	1	0	0	0	0	1	
12E	0	1	0	0	0	0	2	
12G	0	1	0	0	0	0	1	
12H	0	4	0	0	0	0	1	
12K	0	3	0	0	0	0	2	
12M	0	0	0	0	0	0	0	
12N	0	2	0	0	0	0	0	
10A	0	2	0	0	0	0	1	
10B	0	1	0	0	0	0	0	
10C	0	4	0	0	0	0	1	
10D	0	2	0	0	0	0	2	
10E	0	1	0	0	0	0	2	
10G	0	1	0	0	0	0	1	
10H	0	0	0	0	0	0	0	
10K	0	2	0	0	0	0	1	
10M	0	3	0	0	0	0	1	
10N	0	3	0	0	0	0	1	
11A	0	1	0	0	0	0	1	
11B	0	1	0	0	0	0	1	
11C	0	3	0	0	0	0	2	
11D	0	2	0	0	0	0	1	
11E	0	0	0	0	0	0	1	
11G	0	2	0	0	0	0	0	
11H	0	3	0	0	0	0	2	
11K	0	2	0	0	0	0	2	
11M	0	1	0	0	0	0	0	
11N	0	5	0	0	0	0	2	
11P	0	2	0	0	0	0	2	
11Q	0	2	0	0	0	0	1	
11T	0	2	0	0	0	0	1	
